id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
1109277,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.9,0.4,0.5437140793,7,1,0,0,0,1,1,1,2,1,64,3,0.316227766,0.6059621132,0.3016620626,2.8284271247,0.3,0.7,0.9,4,0,7,1,7,2,10,8,3,1,11,0,1,0,1,0,0
23202,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.8,0.6,1.0440306509,11,1,-1,0,-1,6,1,1,2,1,27,1,0.3741657387,0.7131805145000001,0.3907684736999999,3.3166247904,0.5,0.7,0.4,3,1,7,2,9,2,14,3,2,4,4,0,0,1,1,0,0
793476,0,2,2,0,1,4,1,0,0,0,0,0,0,0,0,9,1,0,0,0.9,0.9,1.0139649895,0,1,-1,0,1,1,1,1,0,1,38,3,0.316227766,0.7056296643000001,0.3598610843,3.3166247904,0.3,0.6,0.0,1,3,8,1,11,3,12,4,3,5,7,0,0,0,0,1,0
1012174,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0.9,1.6,1.6626409715,11,0,1,9,1,2,1,1,2,1,104,3,0.4472135954999999,1.3882193244,0.4669047012,3.4641016151,0.8,0.8,0.9,3,0,8,4,10,2,12,5,1,3,6,0,1,1,1,0,0
557657,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0.6,0.3,0.6950719387000001,7,1,-1,0,-1,1,1,1,2,1,10,2,0.316227766,0.7349172102,0.3814446225,3.3166247904,0.1,0.0,0.7,3,0,8,3,5,2,12,7,2,1,12,0,0,1,0,1,0
681095,0,2,2,7,1,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0.6,0.3,0.725861557,7,1,-1,0,-1,4,1,1,2,1,104,2,0.316227766,0.5908391567,0.3807886553,2.6457513111,0.3,0.7,0.2,2,0,7,1,10,1,8,6,0,3,17,0,1,0,0,0,0
728045,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0.6,0.2,0.5841660723,7,1,0,0,0,14,1,1,2,1,68,3,0.4,0.8370673917,0.3443835072,3.0,0.8,0.6,0.0,2,2,8,8,7,3,6,9,1,1,7,0,1,1,0,0,0
459435,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0.9,0.3,0.6595452978999999,7,1,1,0,1,4,1,0,2,1,48,3,0.316227766,0.7650690025,0.3019933774,3.7416573868,0.1,0.4,0.9,3,2,10,2,10,2,9,4,0,3,9,0,1,1,0,1,0
1324601,0,5,1,8,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0.1,0.2,0.54886246,6,1,-1,0,1,10,1,0,0,1,28,3,0.3872983346,1.1314712867,0.3820994635,3.6055512755,0.0,0.4,0.1,3,2,8,2,7,2,12,4,2,0,5,0,1,0,0,0,0
1293459,0,3,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.9,0.4,0.4993746089,9,1,-1,0,-1,1,0,1,0,1,38,3,0.316227766,0.6948155115000001,0.3598610843,3.3166247904,0.1,0.1,0.6,4,1,6,2,10,3,6,2,1,4,7,0,1,1,0,1,0
